param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
0,background,1,2099,1576.7025025599937,41.808313482610764,45.18095058472048,38.43567638050105
0,background,2,1900,1002.1403031185318,17.50956786703601,19.762654047231823,15.2564816868402
0,background,3,1700,730.270904832203,12.351763157894737,14.08750691931814,10.616019396471335
0,background,4,1500,584.4729527156413,10.109152631578947,11.588073252867499,8.630232010290396
0,background,5,1300,484.16438958307424,8.654663967611336,9.970637768955633,7.338690166267038
0,background,6,1100,392.85917227394106,7.656583732057416,8.817408405225244,6.495759058889588
0,background,7,900,316.45815803905845,6.874611111111111,7.908374427372036,5.840847794850187
0,background,8,700,272.7323297378045,6.4885,7.498714686562895,5.478285313437105
0,background,9,500,205.5089958333237,5.9236,6.824282885955225,5.022917114044776
0,background,10,300,152.9425751272343,5.5015,6.36685408181858,4.63614591818142
0,background,11,100,73.9903838386097,5.0990789473684215,5.824184708986796,4.373973185750047
0,deviant,1,100,346.7381083605805,41.228,44.62603346193369,37.829966538066316
0,deviant,2,100,406.8281934027783,34.653999999999996,38.640916295347225,30.667083704652768
0,deviant,3,100,363.81723650611633,28.2335,31.798908917759938,24.66809108224006
0,deviant,4,100,367.7743623187285,26.6965,30.300688750723538,23.092311249276463
0,deviant,5,100,346.4089460373921,23.738,27.132807671166443,20.343192328833556
0,deviant,6,100,324.83716568540353,22.331,25.514404223716955,19.147595776283044
0,deviant,7,100,324.32222128058737,21.11492105263158,24.293278821181335,17.936563284081824
0,deviant,8,100,308.6587623556917,20.148,23.17285587108578,17.12314412891422
0,deviant,9,100,277.2968815661579,18.6135,21.331009439348346,15.89599056065165
0,deviant,10,100,293.06914937568826,18.589,21.461077663881742,15.716922336118254
0,deviant,11,100,276.13817574769183,16.9615,19.66765412232738,14.255345877672621
1,background,1,1619,2601.2718002829633,79.03878937615812,85.37439862621216,72.70318012610409
1,background,2,1419,1540.1579728347835,28.206598419939912,32.21342131190556,24.199775527974257
1,background,3,1219,1066.945190199051,19.545047709511678,22.539837423648933,16.550257995374423
1,background,4,1019,777.4107868274971,15.553627280500892,17.940281738473317,13.166972822528468
